id,category,abstract,year,cross_lists,cat_int
1211.3862,astro-ph,"We study the evolution of the Earth collision probability of asteroid 2008 TC3 using a short observational arc and small numbers of observations. To assess impact probability, we use techniques that rely on the orbital-element probability density function characterized using both Markov-chain Monte-Carlo orbital ranging and Monte-Carlo ranging. First, we evaluate the orbital uncertainties for the object from the night of discovery onwards and examine the collapse of the orbital-element distributions in time. Second, we examine the sensitivity of the results to the assumed astrometric noise. Each of the orbits obtained from the MCMC ranging method is propagated into the future (within chosen time bounds of the expected impact), and the collision probability is calculated as a weighted fraction of the orbits leading to a collision from the Earth. We compare the results obtained with both methods.",12,[],1
1203.0344,astro-ph,"From H\alpha narrow band observations, we identified three H\alpha emitting regions in the direction of Magellanic Stream IV (MS IV). They consist of three parallel filaments with 2 arcmin width and 6 -- 30 arcmin length at 12 arcmin intervals. The mean surface brightness of them is equation erg sequation cmequation arcsecequation. Because of their low surface brightness, the regions were not detected in previous H\alpha surveys. In HI map, the position of the filaments overlap MS, suggesting that they are parts of MS, but there also exists a local HI structure. If the filaments associate with MS, the sizes are 30 pc equation 100 -- 500 pc. The filaments lie at the leading edge of a downstream cloud, which supports a shock heating and its propagation (shock cascade) model for the ionizing source. If they are local objects, on the other hand, Fossil Stromgren Trails of more than two stars is a possible interpretation, and the sizes would be 0.1 pc equation 0.3 -- 1.5 pc at 180 pc distance. The positional information of the H\alpha filaments presented in this letter enables us future spectroscopic observations to clarify their nature.",12,[],1
1204.6359,astro-ph,"Time delay in galaxy gravitational lensing systems has been used to determine the value of Hubble constant. As in other dynamical phenomena at the scale of galaxy, dark matter is often invoked in gravitational lensing to account for the ""missing mass"" (the apparent discrepancy between the dynamical mass and the luminous mass). Alternatively, modified gravity can be used to explain the discrepancy. In this paper we adopt the Tensor-Vector-Scalar gravity (TeVeS), a relativistic version of MOdified Newtonian Dynamics (MOND), to study gravitational lensing phenomena and derive the formulae needed to evaluate the Hubble constant. We test our method on quasar lensing by elliptical galaxies in the literature. We focus on double-image systems with time delay measurement. Three candidates are suitable for our study: HE 2149-2745, FBQ J09512635 and SBS 0909532. The Hubble constant obtained is consistent with the value used in fitting the CMB result in neutrino cosmological model.",12,[],1
1210.4827,astro-ph,"Via joint analysis of a calibrated telescopic survey, which found scattering Kuiper Belt objects, and models of their expected orbital distribution, we measure the form of the scattering object's size distribution. Ruling out a single power-law at greater than 99% confidence, we constrain the form of the size distribution and find that, surprisingly, our analysis favours a very sudden decrease (a divot) in the number distribution as diameters decrease below 100 km, with the number of smaller objects then rising again as expected via collisional equilibrium. Extrapolating at this collisional equilibrium slope produced enough kilometer-scale scattering objects to supply the nearby Jupiter-Family comets. Our interpretation is that this divot feature is a preserved relic of the size distribution made by planetesimal formation, now ""frozen in"" to portions of the Kuiper Belt sharing a ""hot"" orbital inclination distribution, explaining several puzzles in Kuiper Belt science. Additionally, we show that to match today's scattering-object inclination distribution, the supply source that was scattered outward must have already been vertically heated to of order 10 degrees.",12,[],1
1210.1641,astro-ph,"In the era of precision cosmology the Virgo cluster takes on a new role in the cosmic distance scale. Its traditional role of testing the consistency of secondary distance indicators is replaced by an ensemble of distance measurements within the Local Supercluster united by a velocity field model obtained from redshift survey based reconstruction. WMAP leads us to see the Hubble Constant as one of six parameters in a standard model of cosmology with considerable covariance between parameters. Independent experiments, such as WMAP and the HST Key Project (and their successors) constrain these parameters.",12,[],1
1209.3858,astro-ph,"We have developed a multi-pixel beamformer technique, which can be used for enhancing the capabilities for studying pulsars using an interferometric array. Using the Giant Metrewave Radio Telescope (GMRT), we illustrate the application of this efficient technique, which combines the enhanced sensitivity of a coherent array beamformer with the wide field-of-view seen by an incoherent array beamformer. Multi-pixel beamformer algorithm is implemented using the recorded base-band data. With the optimisations in multi-pixelisation described in this paper, it is now possible to form 16 directed beams in real-time. We discuss a special application of this technique, where we use continuum imaging followed by the multi-pixel beamformer to obtain the precise locations of newly discovered millisecond pulsars with the GMRT. Accurate positions measured with single observations enable highly sensitive follow-up studies using coherent array beamformer and rapid follow up at higher radio frequencies and other wavelengths. Normally, such accurate positions can only be obtained from a long-term pulsar timing program. The multi-pixel beamformer technique can also be used for highly sensitive targeted pulsar searches in extended supernova remnants. In addition this method can provide optimal performance for the large scale pulsar surveys using multi-element arrays.",12,[],1
1204.0310,astro-ph,"We show that an upper limit on the maximum brightness temperature for a self-absorbed incoherent synchrotron radio source is obtained from the size of its gyro orbits, which in turn must lie well within the confines of the total source extent. These temperature limits are obtained without recourse to inverse Compton effects or the condition of equipartition of energy between magnetic fields and relativistic particles. For radio variables, the intra-day variability (IDV) implies brightness temperatures equation K in the co-moving rest frame of the source. This, if interpreted purely due to an incoherent synchrotron emission, would imply gyro radii equation cm, the size of the universe, while from the causality arguments the inferred maximum size of the source in such a case is equation cm. Such high brightness temperatures are sometimes modeled in the literature as some coherent emission process where bunches of non-thermal particles are somehow formed that radiate in phase. We show that, unlike in case of curvature radiation models proposed in pulsars, in the synchrotron radiation mechanism the oppositely charged particles would contribute together to the coherent phenomenon without the need to form separate bunches of the opposite charges. At the same time we show that bunches would disperse over dimensions larger than a wavelength in time shorter than the gyro orbital period (equation sec). Therefore a coherent emission by bunches cannot be a plausible explanation of the high brightness temperatures inferred in extragalactic radio sources showing variability over a few hours or longer.",12,[],1
1209.1898,astro-ph,"Collapse and fragmentation of primordial filamentary clouds under isotropic dissociation radiation is investigated with one-dimensional hydrodynamical calculations. We investigate the effect of dissociation photon on the filamentary clouds with calculating non-equilibrium chemical reactions. With the external radiation assumed to turn on when the filamentary cloud forms, the filamentary cloud with low initial density (equation) suffers photodissociation of hydrogen molecules. In such a case, since main coolant is lost, temperature increases adiabatically enough to suppress collapse. As a result, the filamentary cloud fragments into very massive clouds (equation). On the other hand, the evolution of the filamentary clouds with high initial density (equation) is hardly affected by the external radiation. This is because the filamentary cloud with high initial density shields itself from the external radiation. It is found that the external radiation increases fragment mass. This result is consistent with previous results with one-zone models. It is also found that fragment mass decreases owing to the external dissociation radiation in the case with sufficiently large line mass.",12,[],1
1206.1177,astro-ph,"We report the discovery of WASP-78b and WASP-79b, two highly-bloated Jupiter-mass exoplanets orbiting F-type host stars. WASP-78b orbits its V=12.0 host star (TYC 5889-271-1) every 2.175 days and WASP-79b orbits its V=10.1 host star (CD-30 1812) every 3.662 days. Planetary parameters have been determined using a simultaneous fit to WASP and TRAPPIST transit photometry and CORALIE radial-velocity measurements. For WASP-78b a planetary mass of 0.89 /- 0.08 MJup and a radius of 1.70 /- 0.11 RJup is found. The planetary equilibrium temperature of TP = 2350 /- 80 K for WASP-78b makes it one of the hottest of the currently known exoplanets. WASP-79b its found to have a planetary mass of 0.90 /- 0.08 MJup, but with a somewhat uncertain radius due to lack of sufficient TRAPPIST photometry. The planetary radius is at least 1.70 /- 0.11 RJup, but could be as large as 2.09 /- 0.14 RJup, which would make WASP-79b the largest known exoplanet.",12,[],1
1210.0318,astro-ph,"We review the current status of studies of disc atmospheres and winds in low mass X-ray binaries. We discuss the possible wind launching mechanisms and compare the predictions of the models with the existent observations. We conclude that a combination of thermal and radiative pressure (the latter being relevant at high luminosities) can explain the current observations of atmospheres and winds in both neutron star and black hole binaries. Moreover, these winds and atmospheres could contribute significantly to the broad iron emission line observed in these systems.",12,[],1
