id,category,abstract,year,cross_lists,cat_int
1603.05661,astro-ph,"With current space-based missions it is now possible to obtain age-sensitive asteroseismic information for tens of thousands of red giants. This provides a promising opportunity to study the Galactic structure and evolution. We use asteroseismic data of red giants, observed by Kepler, to test the current theoretical framework of modelling the Galaxy based on population synthesis modeling and the use of asteroseismic scaling relations for giants. We use the open source code Galaxia to model the Milky Way and find the distribution of the masses predicted by Galaxia to be systematically offset with respect to the seismically-inferred observed masses. The Galactic model overestimates the number of low mass stars, and these stars are predominantly old and of low metallicity. Using corrections to the equation scaling relation suggested by stellar models (available for download) significantly reduces the disagreement between predicted and observed masses. For a few cases where non-seismic mass estimates are available, the corrections to equation also improve the agreement between seismic and non-seismic mass estimates. The disagreement between predictions of the Galactic model and the observations is most pronounced for stars with equation and equation or for equation K. Altering the star formation rate in order to suppress stars older than 10 Gyr improves the agreement for mass but leads to inconsistent color distributions. We also tested the predictions of the TRILEGAL Galactic model. However, unlike \sl Galaxia, it had difficulties in reproducing the photometric properties of the Kepler Input Catalog because it overestimates the number of blue stars. We conclude that either the scaling relations and/or the Galactic models need to be revised to reconcile predictions of theory with asteroseismic observations.",16,[],1
1608.06836,astro-ph,"Kepler-20 is a solar-type star (V = 12.5) hosting a compact system of five transiting planets, all packed within the orbital distance of Mercury in our own Solar System. A transition from rocky to gaseous planets with a planetary transition radius of ~1.6 REarth has recently been proposed by several publications in the literature (Rogers 2015;Weiss & Marcy 2014). Kepler-20b (Rp ~ 1.9 REarth) has a size beyond this transition radius, however previous mass measurements were not sufficiently precise to allow definite conclusions to be drawn regarding its composition. We present new mass measurements of three of the planets in the Kepler-20 system facilitated by 104 radial velocity measurements from the HARPS-N spectrograph and 30 archival Keck/HIRES observations, as well as an updated photometric analysis of the Kepler data and an asteroseismic analysis of the host star (MStar = 0.948-0.051 Msun and Rstar = 0.964-0.018 Rsun). Kepler-20b is a 1.8680.066-0.034 REarth planet in a 3.7 day period with a mass of 9.701.41-1.44 MEarth resulting in a mean density of 8.21.5-1.3 g/cc indicating a rocky composition with an iron to silicate ratio consistent with that of the Earth. This makes Kepler-20b the most massive planet with a rocky composition found to date. Furthermore, we report the discovery of an additional non-transiting planet with a minimum mass of 19.963.08-3.61 MEarth and an orbital period of ~34 days in the gap between Kepler-20f (P ~ 11 days) and Kepler-20d (P ~ 78 days).",16,[],1
1604.06795,astro-ph,"We report Shanghai Tian Ma Radio Telescope detections of several long carbon-chain molecules at C and Ku band, including HC3N, HC5N, HC7N, HC9N, C3S, C6H and C8H toward the starless cloud Serpens South 1a. We detected some transitions (HC9N J=13-12 F=12-11 and F=14-13, H13CCCN J=2-1 F=1-0 and F=1-1, HC13CCN J=2-1 F=2-2, F=1-0 and F=1-1, HCC13CN J=2-1 F=1-0 and F=1-1) and resolved some hyperfine components (HC5N J=6-5 F=5-4, H13CCCN J=2-1 F=2-1) for the first time in the interstellar medium. The column densities of these carbon-chain molecules in a range of 1012-1013 cm-2 are comparable to two carbon-chain molecule rich sources, TMC-1 and Lupus-1A. The abundance ratios are 1.00:(1.110.15):(1.470.18) for [H13CCCN]:[HC13CCN]:[HCC13CN]. This result implies that the 13C isotope is also concentrated in the carbon atom adjacent to the nitrogen atom in HC3N in Serpens south 1a, which is similar to TMC-1. The [HC3N]/[H13CCCN] ratio of 789, the [HC3N]/[HC13CCN] ratio of 708, and the [HC3N]/[HCC13CN] ratio of 534 are also comparable to those in TMC-1. In any case, Serpens South 1a proves a testing ground for understanding carbon-chain chemistry.",16,[],1
1605.08968,astro-ph,"Pulsars are rapidly spinning and highly magnetized neutron stars, with highly stable rotational period and gradual spin-down over a long timescale due to the loss of radiation. Glitches refer to the events that suddenly increase the rotational speed of a pulsar. The exact causes of glitches and the resulting processes are not fully understood. It is generally believed that couplings between the normal matter and the superfluid components, and the starquakes, are the common causes of glitches. In this study, one famous glitching pulsar, PSR~J20214026, is investigated. PSR~J20214026 is the first variable gamma-ray pulsar observed by Fermi. From the gamma-ray observations, it is found that the pulsar experienced a significant flux drop, an increase in the spin-down rate, a change in the pulse profile and a shift in the spectral cut-off to a lower energy, simultaneously around 2011 October 16. To explain these effects on the high-energy emissions by the glitch of PSR~J20214026, we hypothesized the glitch to be caused by the rearrangement of the surface magnetic field due to the crustal plate tectonic activities on the pulsar which is triggered by a starquake. In this glitch event, the inclination angle of the magnetic dipole axis is slightly shifted. This proposition is then tested by numerical modeling using a three-dimensional two-layer outer gap model. The simulation results indicate that a modification of the inclination angle can affect the pulse profile and the spectral properties, which can explain the observation changes after the glitch.",16,[],1
1609.02283,astro-ph,"The mean alpha-to-iron abundance ratio ([equation/Fe]) of galaxies is sensitive to the chemical evolution processes at early time, and it is an indicator of star formation timescale (equation). Although the physical reason remains ambiguous, there is a tight relation between [equation/Fe] and stellar velocity dispersion (equation) among massive early-type galaxies (ETGs). However, no work has shown convincing results as to how this relation behaves at low masses. We assemble 15 data sets from the literature and build a large sample that includes 192 nearby low-mass (equation~\kms) ETGs. We find that the [equation/Fe]-equation relation generally holds for low-mass ETGs, except in extreme environments. Specifically, in normal galaxy cluster environments, the [equation/Fe]-equation relation and its intrinsic scatter are, within uncertainties, similar for low-mass and high-mass ETGs. However, in the most massive relaxed galaxy cluster in our sample, the zero point of the relation is higher and the intrinsic scatter is significantly larger. By contrast, in galaxy groups the zero point of the relation offsets in the opposite direction, again with substantial intrinsic scatter. The elevated [equation/Fe] of low-mass ETGs in the densest environments suggests that their star formation was quenched earlier than in high-mass ETGs. For the low-mass ETGs in the lowest density environments, we suggest that their more extended star formation histories suppressed their average [equation/Fe]. The large scatter in [equation/Fe] may reflect stochasticity in the chemical evolution of low-mass galaxies.",16,[],1
1610.05065,astro-ph,"Context. The Annular Groove Phase Mask (AGPM) is one possible implementation of the vector vortex coronagraph, where the helical phase ramp is produced by a concentric subwavelength grating. For several years, we have been manufacturing AGPMs by etching gratings into synthetic diamond substrates using inductively coupled plasma etching. Aims. We aim to design, fabricate, optimize, and evaluate new L-band AGPMs that reach the highest possible coronagraphic performance, for applications in current and forthcoming infrared high-contrast imagers. Methods. Rigorous coupled wave analysis (RCWA) is used for designing the subwavelength grating of the phase mask. Coronagraphic performance evaluation is performed on a dedicated optical test bench. The experimental results of the performance evaluation are then used to accurately determine the actual profile of the fabricated gratings, based on RCWA modeling. Results. The AGPM coronagraphic performance is very sensitive to small errors in etch depth and grating profile. Most of the fabricated components therefore show moderate performance in terms of starlight rejection (a few 100:1 in the best cases). Here we present new processes for re-etching the fabricated components in order to optimize the parameters of the grating and hence significantly increase their coronagraphic performance. Starlight rejection up to 1000:1 is demonstrated in a broadband L filter on the coronagraphic test bench, which corresponds to a raw contrast of about 1e-5 at two resolution elements from the star for a perfect input wave front on a circular, unobstructed aperture. Conclusions. Thanks to their exquisite performance, our latest L-band AGPMs are good candidates for installation in state-of-the-art and future high-contrast thermal infrared imagers, such as METIS for the E-ELT.",16,[],1
1601.01165,astro-ph,"Dedispersion, the removal of deleterious smearing of impulsive signals by the interstellar matter, is one of the most intensive processing steps in any radio survey for pulsars and fast transients. We here present a study of the parallelization of this algorithm on many-core accelerators, including GPUs from AMD and NVIDIA, and the Intel Xeon Phi. We find that dedispersion is inherently memory-bound. Even in a perfect scenario, hardware limitations keep the arithmetic intensity low, thus limiting performance. We next exploit auto-tuning to adapt dedispersion to different accelerators, observations, and even telescopes. We demonstrate that the optimal settings differ between observational setups, and that auto-tuning significantly improves performance. This impacts time-domain surveys from Apertif to SKA.",16,[],1
1608.02980,astro-ph,"Optical spectroscopy study of the recent AG Peg outburst observed during the second half of 2015 is presented. Considerable variations of the intensity and the shape of the spectral features as well as the changes of the hot component parameters, caused by the outburst, are discussed and certain similarities between the outburst of AG Peg and the outburst of a classical symbiotic stars are shown. It seems that after the end of the symbiotic nova phase, AG Peg became a member of the classical symbiotic stars group.",16,[],1
1602.05961,astro-ph,"In recent work we proposed a novel theory of dark matter (DM) superfluidity that matches the successes of the LambdaCDM model on cosmological scales while simultaneously reproducing MOdified Newtonian Dynamics (MOND) phenomenology on galactic scales. The agents responsible for mediating the MONDian force law are superfluid phonons that couple to ordinary (baryonic) matter. In this paper we propose an alternative way for the MOND phenomenon to emerge from DM superfluidity. The central idea is to use higher-gradient corrections in the superfluid effective theory. These next-to-leading order terms involve gradients of the gravitational potential, and therefore effectively modify the gravitational force law. In the process we discover a novel mechanism for generating the non-relativistic MOND action, starting from a theory that is fully analytic in all field variables. The idea, inspired by the symmetron mechanism, uses the spontaneous breaking of a discrete symmetry. For large acceleration, the symmetry is unbroken and the action reduces to Einstein gravity. For small acceleration, the symmetry is spontaneously broken and the action reduces to MONDian gravity. Cosmologically, however, the universe is always in the Einstein-gravity, symmetry-restoring phase. The expansion history and linear growth of density perturbations are therefore indistinguishable from LambdaCDM cosmology.",16,"['gr-qc', 'hep-th']",1
1609.01314,astro-ph,"The Qatar-2 transiting exoplanet system was recently observed by the \it Kepler telescope as part of \it K2 Campaign 6. The photometric time series has one-minute time sampling and a precision of about 690~ppm, after filtering out artifacts and spurious trends. We identify dozens of starspot-crossing events, when the planet eclipsed a relatively dark region of the stellar photosphere. The observed patterns in the sequence of these events demonstrate that the planet always transits over the same range of stellar latitudes, and therefore that the stellar obliquity is less than about 10equation. We support this conclusion with two different modeling approaches: one based on explicit identification and timing of the events, and the other based on fitting the light curves with a spotted-star model. We are also able to refine the usual transit parameters and measure the stellar rotation period (equation~days), corresponding to a 'gyrochronological' age of equation Gyr. Coherent flux variations with the same period as the transits are seen throughout the entire light curve. These variations are well modeled as the combined effects of ellipsoidal light variations (equation~ppm) and Doppler boosting (equation~ppm). The magnitudes of these effects are both consistent with a planetary mass of equation, which is in turn consistent with the mass determined by the Doppler technique. No occultations are detected, giving a 2equation upper limit of equation on the planet's visual geometric albedo. The measured transit times are consistent with a constant orbital period. In particular we find no evidence for orbital decay, although we are only able to place a weak lower bound on the relevant tidal quality factor: equation~(95\% confidence).",16,[],1
1611.01121,astro-ph,"The first peak s-process elements Rb, Sr, Y and Zr in the post-AGB star Sakurai's object (V4334 Sagittarii) have been proposed to be the result of i-process nucleosynthesis in a post-AGB very-late thermal pulse event. We estimate the nuclear physics uncertainties in the i-process model predictions to determine whether the remaining discrepancies with observations are significant and point to potential issues with the underlying astrophysical model. We find that the dominant source in the nuclear physics uncertainties are predictions of neutron capture rates on unstable neutron rich nuclei, which can have uncertainties of more than a factor 20 in the band of the i-process. We use a Monte Carlo variation of 52 neutron capture rates and a 1D multi-zone post-processing model for the i-process in Sakurai's object to determine the cumulative effect of these uncertainties on the final elemental abundance predictions. We find that the nuclear physics uncertainties are large and comparable to observational errors. Within these uncertainties the model predictions are consistent with observations. A correlation analysis of the results of our MC simulations reveals that the strongest impact on the predicted abundances of Rb, Sr, Y and Zr is made by the uncertainties in the (n,equation) reaction rates of equationBr, equationBr, equationKr, equationKr, equationKr, equationRb, equationSr, and equationSr. (abridged)",16,[],1
1611.09600,astro-ph,"The effective temperature (Teff) of the radiation field of the ionizing star(s) of a large sample of extragalactic HII regions was estimated using the R= log([OII](3727)/[OIII]5007) index. We used a grid of photoionization models to calibrate the Teff-R relation finding that it has a strong dependence with the ionizing parameter while it shows a weak direct dependence with the metallicity (variations in Z imply variations in U) of both the stellar atmosphere of the ionizing star and the gas phase of the HII region. Since the R index varies slightly with the Teff for values larger than 40 kK, the R index can be used to derive the Teff in 30-40 kK range. A large fraction of the ionization parameter variation is due to differences in the temperature of the ionizing stars and then the use of the (relatively) low Teff dependent S2=[S II](671731)/Ha emission-line ratio to derive the ionization parameter is preferable over others in the literature. We propose linear metallicity dependent relationships between S2 and U. Teff and metallicity estimations for a sample of 865 HII regions, whose emission-line intensities were compiled from the literature, do not show any Teff-Z correlation. On the other hand it seems to be hints of the presence of an anti-correlation between Teff-U. We found that the majority of the studied HII regions (87%) present Teff values in the range between 37 and 40 kK, with an average value of 38.5 kK. We also studied the variation of Teff as a function of the galactocentric distance for 14 spiral galaxies. Our results are in agreement with the idea of the existence of positive Teff gradients along the disk of spiral galaxies.",16,[],1
