id,category,abstract,year,cross_lists,cat_int
1202.5037,astro-ph,"Inflation creates large-scale cosmological density perturbations that are characterized by an isotropic, homogeneous, and Gaussian random distribution about a locally flat background. Even in a flat universe, the spatial curvature measured within one Hubble volume receives contributions from long wavelength perturbations, and will not in general be zero. These same perturbations determine the Cosmic Microwave Background (CMB) temperature fluctuations, which are O(10-5). Consequently, the low-l multipole moments in the CMB temperature map predict the value of the measured spatial curvature letterk. On this basis we argue that a measurement of letterk > 10-4 would rule out slow-roll eternal inflation in our past with high confidence, while a measurement of letterk < -10-4 (which is positive curvature, a locally closed universe) rules out false-vacuum eternal inflation as well, at the same confidence level. In other words, negative curvature (a locally open universe) is consistent with false-vacuum eternal inflation but not with slow-roll eternal inflation, and positive curvature falsifies both. Near-future experiments will dramatically extend the sensitivity of letterk measurements and constitute a sharp test of these predictions.",12,"['gr-qc', 'hep-th']",1
1211.3416,hep-th,"When electric-type flux threads compact extra dimensions, a quantum nucleation event can break a flux line and initiate a cascade that unwinds many units of flux. Here, we present a novel mechanism for inflation based on this phenomenon. From the 4D point of view, the cascade begins with the formation of a bubble containing an open Friedmann-Robertson-Walker cosmology, but the vacuum energy inside the bubble is initially only slightly reduced, and subsequently decreases gradually throughout the cascade. If the initial flux number Q0 ~ O(100), during the cascade the universe can undergo N ~ 60 efolds of inflationary expansion with gradually decreasing Hubble constant, producing a nearly scale-invariant spectrum of adiabatic density perturbations with amplitude and tilt consistent with observation, and a potentially observable level of non-Gaussianity and tensor modes. The power spectrum has a small oscillatory component that does not decay away during inflation, with a period set approximately by the light-crossing time of the compact dimension(s). Since the ingredients are fluxes threading compact dimensions, this mechanism fits naturally into the string landscape, but does not appear to suffer from the eta problem or require fine-tuning (beyond the usual anthropic requirement of small vacuum energy after reheating).",12,"['astro-ph', 'gr-qc']",4
1211.4589,hep-th,"Higher-form flux that extends in all 31 dimensions of spacetime is a source of positive vacuum energy that can drive meta-stable eternal inflation. If the flux also threads compact extra dimensions, the spontaneous nucleation of a bubble of brane charged under the flux can trigger a classical cascade that steadily unwinds many units of flux, gradually decreasing the vacuum energy while inflating the bubble, until the cascade ends in the self-annihilation of the brane into radiation. With an initial number of flux quanta Q0 \simgeq N, this can result in N efolds of inflationary expansion while producing a scale-invariant spectrum of adiabatic density perturbations with amplitude and tilt consistent with observation. The power spectrum has an oscillatory component that does not decay away during inflation, relatively large tensor power, and interesting non-Gaussianities. Unwinding inflation fits naturally into the string landscape, and our preliminary conclusion is that consistency with observation can be attained without fine-tuning the string parameters. The initial conditions necessary for the unwinding phase are produced automatically by bubble formation, so long as the critical radius of the bubble is smaller than at least one of the compact dimensions threaded by flux.",12,"['astro-ph', 'gr-qc']",4
1306.6872,astro-ph,"We analyze an inflationary model in which part of the power in density perturbations arises due to particle production. The amount of particle production is modulated by an auxiliary field. Given an initial gradient for the auxiliary field, this model produces a hemispherical power asymmetry and a suppression of power at low multipoles similar to those observed by WMAP and Planck in the CMB temperature. It also predicts an additive contribution to equation with support only at very small equation that is aligned with the direction of the power asymmetry and has a definite sign, as well as small oscillations in the power spectrum at all equation.",13,['hep-th'],1
1408.2540,hep-th,"We study the dynamics of parallel brane-brane and brane-antibrane scattering in string theory in flat spacetime, focusing on the pair production of open strings that stretch between the branes. We are particularly interested in the case of scattering at small impact parameter equation, where there is a tachyon in the spectrum when a brane and an antibrane approach within a string length. Our conclusion is that despite the tachyon, branes and antibranes can pass through each other with only a very small probability of annihilating, so long as equation is small and the relative velocity equation is neither too small nor too close to 1. Our analysis is relevant also to the case of charged open string production in world-volume electric fields, and we make use of this T-dual scenario in our analysis. We briefly discuss the application of our results to a stringy model of inflation involving moving branes.",14,['astro-ph'],4
1511.01542,hep-th,"In this paper we review the appearance and utility of a nilpotent chiral multiplet in the context of supergravity, string theory and cosmology. Coupling a nilpotent chiral superfield to supergravity, one obtains what is called pure dS supergravity, a supergravity theory without scalar degrees of freedom that naturally has de Sitter (dS) solutions, and in which supersymmetry is non-linearly realized. We extend previous results that couple this dS supergravity to chiral and vector multiplets and derive the most general supergravity action for a single nilpotent chiral multiplet coupled to supergravity and an arbitrary number of chiral and vector multiplets.",15,"['gr-qc', 'hep-ph']",4
1512.05761,hep-th,"We study the dynamics near big crunch singularities produced in asymptotic AdS cosmologies using gauge/gravity duality. The dual description consists of a constant mass deformation of ABJM theory on de Sitter space and is well-defined and stable for small deformations. We identify the critical deformation where the theory becomes unstable at weak and at strong coupling. Using spacelike geodesics anchored on the boundary we compute two-point correlators of ABJM operators of large dimensions. Near the critical deformation a second saddle point contribution enters, in which the spacelike geodesics probe the high curvature region near the singularity. Its contribution strongly enhances the long-distance correlations. This has a natural interpretation in the weakly coupled boundary theory where the critical point corresponds to a massless limit.",15,['gr-qc'],4
1611.07037,hep-th,"In this paper we argue that the mechanism of unwinding inflation is naturally present in warped compactifications of type IIB string theory with local throats. The unwinding of flux is caused by its annihilation against branes. The resulting inflaton potential is linear with periodic modulations. We initiate an analysis of the inflationary dynamics and cosmological observables, which are highly constrained by moduli stabilization. For the simplified model of single-Kahler Calabi-Yau spaces we find that many, though not all of the consistency constraints can be satisfied. Particularly, in this simple model geometric constraints are in tension with obtaining the observed amplitude of the scalar power spectrum. However, we do find 60 efolds of inflation with a trans-Planckian field excursion which offers the hope that slightly more complicated models can lead to a fully consistent explicit construction of large field inflation of this kind.",16,[],4
1712.04466,hep-th,"The unwinding inflation mechanism is studied in a type IIB flux compactification where all moduli are stabilized using flux, non-perturbative effects, and the leading alpha' corrections of the large volume scenario. We consider the backreaction on the geometry due to the presence of anti-D3 branes as well as the backreaction of inflation on the Kaehler moduli, and compute the resulting corrections to the slow-roll potential. By taking large flux numbers, we are able to find inflationary epochs where backreaction effects are under control, the inflaton traverses a super-Planckian field range, and the resulting amplitude of scalar perturbations is consistent with observation.",17,[],4
1807.01570,hep-th,"Recent developments in string compactifications demonstrate obstructions to the simplest constructions of low energy cosmologies with positive vacuum energy. The existence of obstacles to creating scale-separated de Sitter solutions indicates a UV/IR puzzle for embedding cosmological vacua in a unitary theory of quantum gravity. Motivated by this puzzle, we propose an embedding of positive energy Friedmann-Lemaitre-Robertson-Walker cosmology within string theory. Our proposal involves confining 4D gravity on a brane which mediates the decay from a non-supersymmetric false AdS5 vacuum to a true vacuum. In this way, it is natural for a 4D observer to experience an effective positive cosmological constant coupled to matter and radiation, avoiding the need for scale separation or a fundamental de Sitter vacuum.",18,"['gr-qc', 'hep-ph']",4
